period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TU,LU,WRLD,TOT,23612.0,91490.0
2016-02-01,TU,LU,WRLD,TOT,34858.0,98648.0
2016-03-01,TU,LU,WRLD,TOT,58626.0,165617.0
2016-04-01,TU,LU,WRLD,TOT,79504.0,210423.0
2016-05-01,TU,LU,WRLD,TOT,104200.0,319733.0
2016-06-01,TU,LU,WRLD,TOT,122872.0,451235.0
2016-07-01,TU,LU,WRLD,TOT,153811.0,705198.0
2016-08-01,TU,LU,WRLD,TOT,143748.0,791332.0
2016-09-01,TU,LU,WRLD,TOT,113096.0,482504.0
2016-10-01,TU,LU,WRLD,TOT,75377.0,221077.0
2016-11-01,TU,LU,WRLD,TOT,27374.0,71067.0
2016-12-01,TU,LU,WRLD,TOT,31318.0,78749.0
2017-01-01,TU,LU,WRLD,TOT,24570.0,64230.0
2017-02-01,TU,LU,WRLD,TOT,40361.0,84261.0
2017-03-01,TU,LU,WRLD,TOT,47295.0,113374.0
2017-04-01,TU,LU,WRLD,TOT,110380.0,273309.0
2017-05-01,TU,LU,WRLD,TOT,104110.0,298481.0
2017-06-01,TU,LU,WRLD,TOT,137569.0,474209.0
2017-07-01,TU,LU,WRLD,TOT,152134.0,679541.0
2017-08-01,TU,LU,WRLD,TOT,143808.0,752512.0
2017-09-01,TU,LU,WRLD,TOT,116171.0,460565.0
2017-10-01,TU,LU,WRLD,TOT,70384.0,188468.0
2017-11-01,TU,LU,WRLD,TOT,36171.0,86814.0
2017-12-01,TU,LU,WRLD,TOT,32376.0,70280.0
2018-01-01,TU,LU,WRLD,TOT,25229.0,59211.0
2018-02-01,TU,LU,WRLD,TOT,38296.0,76390.0
2018-03-01,TU,LU,WRLD,TOT,52119.0,114014.0
2018-04-01,TU,LU,WRLD,TOT,99305.0,243002.0
2018-05-01,TU,LU,WRLD,TOT,109745.0,320970.0
2018-06-01,TU,LU,WRLD,TOT,143175.0,473294.0
2018-07-01,TU,LU,WRLD,TOT,152691.0,698601.0
2018-08-01,TU,LU,WRLD,TOT,146951.0,771885.0
2018-09-01,TU,LU,WRLD,TOT,118475.0,451378.0
2018-10-01,TU,LU,WRLD,TOT,70165.0,191386.0
2018-11-01,TU,LU,WRLD,TOT,35617.0,86315.0
2018-12-01,TU,LU,WRLD,TOT,34142.0,74242.0
2019-01-01,TU,LU,WRLD,TOT,25435.0,60139.0
2019-02-01,TU,LU,WRLD,TOT,37733.0,77066.0
2019-03-01,TU,LU,WRLD,TOT,54729.0,124173.0
2019-04-01,TU,LU,WRLD,TOT,96903.0,248201.0
2019-05-01,TU,LU,WRLD,TOT,100274.0,279303.0
2019-06-01,TU,LU,WRLD,TOT,145702.0,492843.0
2019-07-01,TU,LU,WRLD,TOT,149719.0,683434.0
2019-08-01,TU,LU,WRLD,TOT,155383.0,792281.0
2019-09-01,TU,LU,WRLD,TOT,120170.0,459980.0
2019-10-01,TU,LU,WRLD,TOT,77188.0,202118.0
2019-11-01,TU,LU,WRLD,TOT,34237.0,81027.0
2019-12-01,TU,LU,WRLD,TOT,32385.0,68853.0
2020-01-01,TU,LU,WRLD,TOT,25885.0,62179.0
2020-02-01,TU,LU,WRLD,TOT,24708.0,55501.0
2020-03-01,TU,LU,WRLD,TOT,2699.0,8760.0
2020-04-01,TU,LU,WRLD,TOT,278.0,5134.0
2020-05-01,TU,LU,WRLD,TOT,2750.0,8718.0
2020-06-01,TU,LU,WRLD,TOT,37277.0,98116.0
2020-07-01,TU,LU,WRLD,TOT,97681.0,400787.0
2020-08-01,TU,LU,WRLD,TOT,123026.0,616879.0
2020-09-01,TU,LU,WRLD,TOT,73637.0,269789.0
2020-10-01,TU,LU,WRLD,TOT,20949.0,55678.0
2020-11-01,TU,LU,WRLD,TOT,5048.0,16310.0
2020-12-01,TU,LU,WRLD,TOT,4268.0,16033.0
2021-01-01,TU,LU,WRLD,TOT,7974.0,24045.0
2021-02-01,TU,LU,WRLD,TOT,9494.0,24979.0
2021-03-01,TU,LU,WRLD,TOT,9238.0,29232.0
2021-04-01,TU,LU,WRLD,TOT,9555.0,27073.0
2021-05-01,TU,LU,WRLD,TOT,43072.0,115488.0
2021-06-01,TU,LU,WRLD,TOT,96882.0,332823.0
2021-07-01,TU,LU,WRLD,TOT,143114.0,629212.0
2021-08-01,TU,LU,WRLD,TOT,154248.0,796072.0
2021-09-01,TU,LU,WRLD,TOT,101808.0,417127.0
2021-10-01,TU,LU,WRLD,TOT,61252.0,147280.0
2021-11-01,TU,LU,WRLD,TOT,21557.0,50853.0
2021-12-01,TU,LU,WRLD,TOT,21807.0,49906.0
